o_vert_lat,o_vert_lon,d_vert_lat,d_vert_lon,origin_vertiport_id,destination_vertiport_id,distance_miles
33.9477885,-118.3740864,34.0456252502567,-118.266982925834,LAX,DTLA,9.13
33.9477885,-118.3740864,33.8160603084528,-118.151221292608,LAX,LGB,15.69
33.9477885,-118.3740864,33.8121,-117.91897,LAX,ANH,27.73
33.9477885,-118.3740864,34.09174,-118.32725,LAX,HWD,10.3
33.9477885,-118.3740864,34.1716,-118.60525,LAX,WDHL,20.35
33.9477885,-118.3740864,34.13843,-118.35511,LAX,UVS,13.21
33.9477885,-118.3740864,34.08807,-118.55063,LAX,PSD,14.0
33.9477885,-118.3740864,34.06666,-118.41143,LAX,BVH,8.49
34.0456252502567,-118.266982925834,33.9477885,-118.3740864,DTLA,LAX,9.13
34.0456252502567,-118.266982925834,33.8160603084528,-118.151221292608,DTLA,LGB,17.19
34.0456252502567,-118.266982925834,33.8121,-117.91897,DTLA,ANH,25.65
34.0456252502567,-118.266982925834,34.09174,-118.32725,DTLA,HWD,4.69
34.0456252502567,-118.266982925834,34.1716,-118.60525,DTLA,WDHL,21.21
34.0456252502567,-118.266982925834,34.13843,-118.35511,DTLA,UVS,8.16
34.0456252502567,-118.266982925834,34.08807,-118.55063,DTLA,PSD,16.49
34.0456252502567,-118.266982925834,34.06666,-118.41143,DTLA,BVH,8.39
33.8160603084528,-118.151221292608,33.9477885,-118.3740864,LGB,LAX,15.69
33.8160603084528,-118.151221292608,34.0456252502567,-118.266982925834,LGB,DTLA,17.19
33.8160603084528,-118.151221292608,33.8121,-117.91897,LGB,ANH,13.33
33.8160603084528,-118.151221292608,34.09174,-118.32725,LGB,HWD,21.55
33.8160603084528,-118.151221292608,34.1716,-118.60525,LGB,WDHL,35.77
33.8160603084528,-118.151221292608,34.13843,-118.35511,LGB,UVS,25.15
33.8160603084528,-118.151221292608,34.08807,-118.55063,LGB,PSD,29.61
33.8160603084528,-118.151221292608,34.06666,-118.41143,LGB,BVH,22.85
33.8121,-117.91897,33.9477885,-118.3740864,ANH,LAX,27.73
33.8121,-117.91897,34.0456252502567,-118.266982925834,ANH,DTLA,25.65
33.8121,-117.91897,33.8160603084528,-118.151221292608,ANH,LGB,13.33
33.8121,-117.91897,34.09174,-118.32725,ANH,HWD,30.34
33.8121,-117.91897,34.1716,-118.60525,ANH,WDHL,46.49
33.8121,-117.91897,34.13843,-118.35511,ANH,UVS,33.65
33.8121,-117.91897,34.08807,-118.55063,ANH,PSD,40.91
33.8121,-117.91897,34.06666,-118.41143,ANH,BVH,33.25
34.09174,-118.32725,33.9477885,-118.3740864,HWD,LAX,10.3
34.09174,-118.32725,34.0456252502567,-118.266982925834,HWD,DTLA,4.69
34.09174,-118.32725,33.8160603084528,-118.151221292608,HWD,LGB,21.55
34.09174,-118.32725,33.8121,-117.91897,HWD,ANH,30.34
34.09174,-118.32725,34.1716,-118.60525,HWD,WDHL,16.83
34.09174,-118.32725,34.13843,-118.35511,HWD,UVS,3.6
34.09174,-118.32725,34.08807,-118.55063,HWD,PSD,12.78
34.09174,-118.32725,34.06666,-118.41143,HWD,BVH,5.12
34.1716,-118.60525,33.9477885,-118.3740864,WDHL,LAX,20.35
34.1716,-118.60525,34.0456252502567,-118.266982925834,WDHL,DTLA,21.21
34.1716,-118.60525,33.8160603084528,-118.151221292608,WDHL,LGB,35.77
34.1716,-118.60525,33.8121,-117.91897,WDHL,ANH,46.49
34.1716,-118.60525,34.09174,-118.32725,WDHL,HWD,16.83
34.1716,-118.60525,34.13843,-118.35511,WDHL,UVS,14.48
34.1716,-118.60525,34.08807,-118.55063,WDHL,PSD,6.56
34.1716,-118.60525,34.06666,-118.41143,WDHL,BVH,13.24
34.13843,-118.35511,33.9477885,-118.3740864,UVS,LAX,13.21
34.13843,-118.35511,34.0456252502567,-118.266982925834,UVS,DTLA,8.16
34.13843,-118.35511,33.8160603084528,-118.151221292608,UVS,LGB,25.15
34.13843,-118.35511,33.8121,-117.91897,UVS,ANH,33.65
34.13843,-118.35511,34.09174,-118.32725,UVS,HWD,3.6
34.13843,-118.35511,34.1716,-118.60525,UVS,WDHL,14.48
34.13843,-118.35511,34.08807,-118.55063,UVS,PSD,11.71
34.13843,-118.35511,34.06666,-118.41143,UVS,BVH,5.91
34.08807,-118.55063,33.9477885,-118.3740864,PSD,LAX,14.0
34.08807,-118.55063,34.0456252502567,-118.266982925834,PSD,DTLA,16.49
34.08807,-118.55063,33.8160603084528,-118.151221292608,PSD,LGB,29.61
34.08807,-118.55063,33.8121,-117.91897,PSD,ANH,40.91
34.08807,-118.55063,34.09174,-118.32725,PSD,HWD,12.78
34.08807,-118.55063,34.1716,-118.60525,PSD,WDHL,6.56
34.08807,-118.55063,34.13843,-118.35511,PSD,UVS,11.71
34.08807,-118.55063,34.06666,-118.41143,PSD,BVH,8.1
34.06666,-118.41143,33.9477885,-118.3740864,BVH,LAX,8.49
34.06666,-118.41143,34.0456252502567,-118.266982925834,BVH,DTLA,8.39
34.06666,-118.41143,33.8160603084528,-118.151221292608,BVH,LGB,22.85
34.06666,-118.41143,33.8121,-117.91897,BVH,ANH,33.25
34.06666,-118.41143,34.09174,-118.32725,BVH,HWD,5.12
34.06666,-118.41143,34.1716,-118.60525,BVH,WDHL,13.24
34.06666,-118.41143,34.13843,-118.35511,BVH,UVS,5.91
34.06666,-118.41143,34.08807,-118.55063,BVH,PSD,8.1
