00:00:00 INFO    Aircraft 0, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: SFO_PARK18.
00:00:00 INFO    Aircraft 1, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: SFO_PARK17.
00:00:00 INFO    Aircraft 2, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: SFO_PARK16.
00:00:00 INFO    Aircraft 3, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: SFO_PARK15.
00:00:00 INFO    Aircraft 4, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: SFO_PARK14.
00:00:00 INFO    Aircraft 5, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK18.
00:00:00 INFO    Aircraft 6, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK17.
00:00:00 INFO    Aircraft 7, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK16.
00:00:00 INFO    Aircraft 8, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK15.
00:00:00 INFO    Aircraft 9, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK14.
00:00:00 INFO    Aircraft 10, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK13.
00:00:00 INFO    Aircraft 11, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK12.
00:00:00 INFO    Aircraft 12, state: AircraftStatus.IDLE, SOC: 100, target SOC: None, location: MV_PARK11.
