,mean,median,std,max,min,total
BVH_HWD,16.797924528301888,17.18,1.183817551104909,17.18,13.129999999999999,890.2900000000001
BVH_PSD,17.4002,17.86,1.2724252276656574,17.86,13.69,870.0100000000001
PSD_WDHL,16.418888888888883,17.5,1.7662081864901122,17.5,13.41,886.6199999999998
HWD_LAX,19.450000000000003,19.45,3.552713678800501e-15,19.45,19.45,583.5000000000001
UVS_BVH,18.383499999999998,18.49,0.6650922868294287,18.49,14.230000000000002,735.3399999999999
LAX_HWD,19.89,19.89,0.0,19.89,19.89,855.27
WDHL_PSD,18.895000000000003,19.220000000000002,1.0872421939178474,19.220000000000002,14.820000000000002,642.4300000000001
LAX_BVH,19.817600000000002,19.91,0.45266570446633103,19.91,17.6,495.44000000000005
PSD_HWD,20.40415384615384,21.669999999999998,2.1270469904090703,21.669999999999998,16.83,1326.2699999999995
HWD_PSD,20.188125000000003,20.590000000000003,1.2598944338217404,20.590000000000003,15.929999999999998,646.0200000000001
UVS_PSD,16.60305825242718,15.54,1.9178550079602248,20.080000000000002,15.54,3420.2299999999987
PSD_UVS,20.034375,21.15,2.0163719546192356,21.15,16.39,1282.2
LAX_UVS,21.21333333333334,21.32,0.7075466219424856,21.32,16.52,954.6000000000003
LAX_PSD,19.447599999999998,21.79,2.438047218574732,21.79,16.910000000000004,972.3799999999999
HWD_WDHL,22.390000000000004,22.39,3.552713678800501e-15,22.39,22.39,1052.3300000000002
WDHL_UVS,22.952222222222225,23.01,0.38325442021884637,23.01,20.41,1032.8500000000001
DTLA_PSD,22.181599999999992,22.61,1.3690673613814606,22.61,17.580000000000005,1109.0799999999997
WDHL_DTLA,26.210000000000008,26.210000000000004,3.552713678800501e-15,26.210000000000004,26.210000000000004,1231.8700000000003
LAX_ANH,26.55999999999999,26.56,7.105427357601002e-15,26.56,26.56,1168.6399999999996
BVH_LGB,24.476190476190474,24.900000000000002,1.3122571473844904,24.900000000000002,19.479999999999997,1028.0
LGB_UVS,28.5,28.5,0.0,28.5,28.5,798.0
LGB_BVH,28.164615384615388,28.4,1.0671741889246114,28.4,22.32,1098.42
HWD_BVH,18.279999999999998,18.28,3.552713678800501e-15,18.28,18.28,859.1599999999999
UVS_ANH,30.140000000000004,30.139999999999997,7.105427357601002e-15,30.139999999999997,30.139999999999997,1296.0200000000002
ANH_DTLA,29.188666666666663,29.77,1.7586580742777216,29.77,23.449999999999996,875.6599999999999
ANH_LAX,31.150000000000006,31.150000000000002,3.552713678800501e-15,31.150000000000002,31.150000000000002,1308.3000000000002
LGB_PSD,29.571333333333335,30.490000000000002,2.118527371128875,30.490000000000002,24.03,887.1400000000001
HWD_DTLA,14.012258064516127,12.98,1.7502787053226505,16.98,12.98,1737.5199999999998
LAX_DTLA,19.210000000000008,19.21,7.105427357601002e-15,19.21,19.21,902.8700000000003
LGB_WDHL,33.32999999999999,33.33,7.105427357601002e-15,33.33,33.33,1599.8399999999997
PSD_ANH,32.4833962264151,34.38,3.165518791661663,34.38,27.200000000000003,1721.6200000000003
UVS_HWD,16.82,16.82,0.0,16.82,16.82,672.8
ANH_PSD,36.67457142857141,36.839999999999996,0.9646060420329785,36.839999999999996,31.050000000000004,1283.6099999999994
UVS_LAX,21.03,21.03,0.0,21.03,21.03,883.26
PSD_BVH,15.702254901960782,14.01,2.06413819402786,18.22,14.01,1601.6299999999997
WDHL_LAX,25.230000000000004,25.23,3.552713678800501e-15,25.23,25.23,1084.89
UVS_WDHL,21.179999999999993,21.180000000000003,1.0658141036401503e-14,21.180000000000003,21.180000000000003,826.0199999999998
PSD_LAX,20.721086956521745,21.67,1.9240042351269373,21.67,16.82,953.1700000000003
BVH_LAX,17.95235294117647,18.2,0.9905882352941174,18.2,13.99,610.38
HWD_ANH,28.23,28.23,0.0,28.23,28.23,790.44
PSD_DTLA,22.00441860465116,23.45,2.3234470205555136,23.45,18.269999999999996,946.1899999999998
ANH_LGB,24.200000000000003,24.2,3.552713678800501e-15,24.2,24.2,1040.6000000000001
DTLA_UVS,15.333442622950825,14.460000000000004,1.7350418195422046,18.779999999999998,14.460000000000004,2806.020000000001
DTLA_LAX,19.29,19.29,0.0,19.29,19.29,617.28
WDHL_LGB,32.46,32.46,0.0,32.46,32.46,1038.72
PSD_LGB,27.90941176470588,29.0,2.3559398538917984,29.0,22.82,1423.3799999999999
BVH_UVS,17.28025641025641,17.49,0.9021412908257523,17.49,13.399999999999999,673.93
DTLA_WDHL,24.81,24.81,0.0,24.81,24.81,1091.6399999999999
WDHL_HWD,21.02333333333333,18.799999999999997,2.6111725761087166,24.09,18.799999999999997,1450.6099999999997
DTLA_BVH,20.220000000000006,20.22,7.105427357601002e-15,20.22,20.22,606.6000000000001
DTLA_ANH,25.589999999999996,25.59,3.552713678800501e-15,25.59,25.59,1100.37
HWD_LGB,24.28,24.28,0.0,24.28,24.28,1019.76
UVS_DTLA,18.889999999999997,18.889999999999997,0.0,18.889999999999997,18.889999999999997,868.9399999999998
WDHL_BVH,21.299999999999994,21.299999999999997,3.552713678800501e-15,21.299999999999997,21.299999999999997,745.4999999999998
LAX_LGB,20.78,20.78,0.0,20.78,20.78,831.2
BVH_WDHL,20.171794871794866,20.29,0.7286653475304354,20.29,15.68,786.6999999999997
DTLA_LGB,21.950000000000006,21.95,7.105427357601002e-15,21.95,21.95,636.5500000000002
LAX_WDHL,24.700000000000006,24.7,7.105427357601002e-15,24.7,24.7,691.6000000000001
ANH_WDHL,39.47,39.46999999999999,7.105427357601002e-15,39.46999999999999,39.46999999999999,1776.1499999999999
UVS_LGB,26.299999999999997,26.3,3.552713678800501e-15,26.3,26.3,946.7999999999998
HWD_UVS,16.310000000000002,16.310000000000002,0.0,16.310000000000002,16.310000000000002,424.06000000000006
LGB_LAX,24.48,24.48,0.0,24.48,24.48,1175.04
LGB_DTLA,21.936721311475402,19.36,2.7067206710676985,24.78,19.36,1338.1399999999996
ANH_HWD,31.950000000000006,31.95,7.105427357601002e-15,31.95,31.95,1469.7000000000003
DTLA_HWD,17.200000000000003,17.200000000000003,0.0,17.200000000000003,17.200000000000003,533.2
LGB_HWD,26.79,26.79,0.0,26.79,26.79,696.54
LGB_ANH,21.29,21.29,0.0,21.29,21.29,851.5999999999999
BVH_ANH,29.880000000000017,29.880000000000003,1.4210854715202004e-14,29.880000000000003,29.880000000000003,1165.3200000000006
ANH_BVH,34.529999999999994,34.529999999999994,0.0,34.529999999999994,34.529999999999994,1277.6099999999997
BVH_DTLA,18.54926829268293,18.76,0.9305660229886911,18.76,14.439999999999998,760.5200000000002
WDHL_ANH,37.529999999999994,37.529999999999994,0.0,37.529999999999994,37.529999999999994,1651.3199999999997
ANH_UVS,30.217868852459013,33.559999999999995,3.5107465530638184,33.559999999999995,26.53,1843.2899999999997
