,mean,median,std,max,min
BVH_HWD,6.68,6.62,0.26,8.45,6.62
BVH_PSD,7.08,7.03,0.34,9.48,7.03
PSD_WDHL,6.88,6.82,0.29,8.9,6.82
HWD_LAX,8.0,7.98,0.07,8.31,7.98
UVS_BVH,7.41,7.38,0.1,7.83,7.38
LAX_HWD,8.25,8.23,0.06,8.55,8.23
WDHL_PSD,8.06,7.82,0.9,12.47,7.82
LAX_BVH,8.25,8.23,0.04,8.42,8.23
PSD_HWD,9.39,9.32,0.27,11.15,9.32
HWD_PSD,8.9,8.67,0.88,13.12,8.67
UVS_PSD,19.03,15.39,11.83,49.31,8.37
PSD_UVS,9.01,9.0,0.06,9.34,9.0
LAX_UVS,9.16,9.1,0.17,9.95,9.1
LAX_PSD,9.55,9.38,0.44,11.68,9.38
HWD_WDHL,9.77,9.77,0.05,10.1,9.77
WDHL_UVS,10.13,10.12,0.07,10.55,10.12
DTLA_PSD,10.29,9.88,1.47,17.7,9.88
WDHL_DTLA,12.05,12.03,0.05,12.27,12.03
LAX_ANH,12.33,12.32,0.06,12.73,12.32
BVH_LGB,11.38,11.3,0.36,13.38,11.3
LGB_UVS,13.4,13.4,0.0,13.4,13.4
LGB_BVH,13.37,13.32,0.33,15.4,13.32
HWD_BVH,7.27,7.25,0.12,8.05,7.25
UVS_ANH,14.45,14.45,0.03,14.63,14.45
ANH_DTLA,14.36,14.13,0.82,18.3,14.13
ANH_LAX,14.98,14.97,0.05,15.26,14.97
LGB_PSD,14.63,14.6,0.09,15.02,14.6
HWD_DTLA,7.56,6.5,2.26,17.49,6.5
LAX_DTLA,7.87,7.83,0.13,8.6,7.83
LGB_WDHL,16.41,16.32,0.42,18.9,16.32
PSD_ANH,17.08,17.0,0.46,20.27,17.0
UVS_HWD,6.4,6.4,0.0,6.4,6.4
ANH_PSD,18.43,18.4,0.09,18.77,18.4
UVS_LAX,8.95,8.93,0.07,9.32,8.93
PSD_BVH,22.12,7.37,16.91,49.33,7.25
WDHL_LAX,11.48,11.45,0.11,11.88,11.45
UVS_WDHL,9.05,9.03,0.07,9.38,9.03
PSD_LAX,9.33,9.32,0.06,9.72,9.32
BVH_LAX,7.26,7.23,0.08,7.56,7.23
HWD_ANH,13.32,13.32,0.03,13.47,13.32
PSD_DTLA,10.39,10.38,0.03,10.55,10.38
ANH_LGB,10.8,10.77,0.1,11.17,10.77
DTLA_UVS,18.73,8.0,15.14,51.03,7.57
DTLA_LAX,8.01,7.88,0.45,9.93,7.88
WDHL_LGB,15.83,15.82,0.04,16.03,15.82
PSD_LGB,13.87,13.75,0.5,16.53,13.75
BVH_UVS,6.84,6.82,0.11,7.43,6.82
DTLA_WDHL,11.23,11.22,0.06,11.6,11.22
WDHL_HWD,11.0,10.77,0.65,13.85,10.77
DTLA_BVH,8.44,8.42,0.09,8.8,8.42
DTLA_ANH,11.78,11.73,0.22,13.17,11.73
HWD_LGB,10.92,10.92,0.0,10.92,10.92
UVS_DTLA,7.68,7.65,0.16,8.65,7.65
WDHL_BVH,9.12,9.1,0.07,9.53,9.1
LAX_LGB,8.88,8.82,0.2,9.98,8.82
BVH_WDHL,8.53,8.5,0.1,8.93,8.5
DTLA_LGB,9.52,9.52,0.02,9.6,9.52
LAX_WDHL,11.15,11.15,0.0,11.15,11.15
ANH_WDHL,20.05,20.0,0.28,21.87,20.0
UVS_LGB,12.14,12.13,0.05,12.43,12.13
HWD_UVS,6.09,6.08,0.02,6.17,6.08
LGB_LAX,10.98,10.97,0.12,11.81,10.97
LGB_DTLA,11.22,11.15,0.29,13.23,11.15
ANH_HWD,15.47,15.45,0.06,15.73,15.45
DTLA_HWD,6.63,6.62,0.04,6.87,6.62
LGB_HWD,12.39,12.37,0.06,12.65,12.37
LGB_ANH,9.14,9.1,0.15,9.92,9.1
BVH_ANH,14.32,14.3,0.07,14.67,14.3
ANH_BVH,17.0,16.98,0.11,17.63,16.98
BVH_DTLA,7.64,7.58,0.15,8.2,7.58
WDHL_ANH,18.96,18.88,0.3,20.81,18.88
ANH_UVS,16.57,16.42,0.63,20.54,16.42
