Route,EnergyConsumption_SoC%,FlightDurationMin
BVH_HWD,15.0,10.0
BVH_PSD,15.0,10.0
PSD_WDHL,15.0,10.0
HWD_LAX,15.0,10.0
UVS_BVH,15.0,10.0
LAX_HWD,15.0,10.0
WDHL_PSD,15.0,10.0
LAX_BVH,15.0,10.0
PSD_HWD,15.0,10.0
HWD_PSD,15.0,10.0
UVS_PSD,15.0,20.0
PSD_UVS,15.0,10.0
LAX_UVS,15.0,10.0
LAX_PSD,15.0,10.0
HWD_WDHL,15.0,10.0
WDHL_UVS,15.0,15.0
DTLA_PSD,15.0,15.0
WDHL_DTLA,20.0,15.0
LAX_ANH,20.0,15.0
BVH_LGB,20.0,15.0
LGB_UVS,20.0,15.0
LGB_BVH,20.0,15.0
HWD_BVH,15.0,10.0
UVS_ANH,20.0,15.0
ANH_DTLA,20.0,15.0
ANH_LAX,20.0,15.0
LGB_PSD,20.0,15.0
HWD_DTLA,10.0,10.0
LAX_DTLA,15.0,10.0
LGB_WDHL,25.0,20.0
PSD_ANH,25.0,20.0
UVS_HWD,15.0,10.0
ANH_PSD,25.0,20.0
UVS_LAX,15.0,10.0
PSD_BVH,10.0,25.0
WDHL_LAX,20.0,15.0
UVS_WDHL,15.0,10.0
PSD_LAX,15.0,10.0
BVH_LAX,15.0,10.0
HWD_ANH,20.0,15.0
PSD_DTLA,15.0,15.0
ANH_LGB,20.0,15.0
DTLA_UVS,10.0,20.0
DTLA_LAX,15.0,10.0
WDHL_LGB,25.0,20.0
PSD_LGB,20.0,15.0
BVH_UVS,15.0,10.0
DTLA_WDHL,20.0,15.0
WDHL_HWD,15.0,15.0
DTLA_BVH,15.0,10.0
DTLA_ANH,20.0,15.0
HWD_LGB,20.0,15.0
UVS_DTLA,15.0,10.0
WDHL_BVH,15.0,10.0
LAX_LGB,15.0,10.0
BVH_WDHL,15.0,10.0
DTLA_LGB,15.0,10.0
LAX_WDHL,20.0,15.0
ANH_WDHL,25.0,25.0
UVS_LGB,20.0,15.0
HWD_UVS,15.0,10.0
LGB_LAX,20.0,15.0
LGB_DTLA,15.0,15.0
ANH_HWD,20.0,20.0
DTLA_HWD,15.0,10.0
LGB_HWD,20.0,15.0
LGB_ANH,15.0,10.0
BVH_ANH,20.0,15.0
ANH_BVH,25.0,20.0
BVH_DTLA,15.0,10.0
WDHL_ANH,25.0,20.0
ANH_UVS,20.0,20.0
