,time,tail_number,location,speed,soc,flight_direction,event,latitude,longitude,altitude
0,1686873600000,aircraft0,RICHMOND_PARK18,0.0,80.0,SJ_RICHMOND,agent_creation,37.9135365482453,-122.331871720731,0.0
1,1686873600001,aircraft1,RICHMOND_PARK17,0.0,80.0,SJ_RICHMOND,agent_creation,37.913509748699,-122.332218796242,0.0
2,1686873600002,aircraft2,RICHMOND_PARK16,0.0,80.0,STOCKTON_RICHMOND,agent_creation,37.9133640988197,-122.332367964866,0.0
3,1686873600003,aircraft3,RICHMOND_PARK15,0.0,80.0,STOCKTON_RICHMOND,agent_creation,37.9132056314235,-122.332390118622,0.0
4,1686873600004,aircraft4,SFO_PARK18,0.0,80.0,RICHMOND_SFO,agent_creation,37.6216482026196,-122.376611395214,0.0
5,1686873600005,aircraft5,SFO_PARK17,0.0,80.0,RICHMOND_SFO,agent_creation,37.6218721736357,-122.376449814136,0.0
6,1686873600006,aircraft6,SFO_PARK16,0.0,80.0,RICHMOND_SFO,agent_creation,37.6219212144522,-122.376155180287,0.0
7,1686873600007,aircraft7,SFO_PARK15,0.0,80.0,STOCKTON_SFO,agent_creation,37.6218366613002,-122.375959825235,0.0
8,1686873600008,aircraft8,SJ_PARK16,0.0,80.0,STOCKTON_SJ,agent_creation,37.3059430959902,-121.854169131574,0.0
9,1686873600009,aircraft9,SJ_PARK15,0.0,80.0,RICHMOND_SJ,agent_creation,37.305770451063,-121.854409622629,0.0
10,1686873600010,aircraft10,SJ_PARK14,0.0,80.0,STOCKTON_SJ,agent_creation,37.30554124248,-121.854405990325,0.0
11,1686873600011,aircraft11,STOCKTON_PARK16,0.0,80.0,SJ_STOCKTON,agent_creation,37.9384700217001,-121.350456226674,0.0
12,1686873600012,aircraft12,STOCKTON_PARK15,0.0,80.0,SJ_STOCKTON,agent_creation,37.9383214396354,-121.350687162705,0.0
13,1686873600013,aircraft13,STOCKTON_PARK14,0.0,80.0,SFO_STOCKTON,agent_creation,37.9381213326703,-121.350719068341,0.0
14,1686874042006,aircraft8,SJ_PARK16,0.0,80.0,SJ_STOCKTON,aircraft_allocation,37.3059430959902,-121.854169131574,0.0
15,1686874135996,aircraft0,RICHMOND_PARK18,0.0,80.0,RICHMOND_SFO,aircraft_allocation,37.9135365482453,-122.331871720731,0.0
16,1686874159491,aircraft1,RICHMOND_PARK17,0.0,80.0,RICHMOND_STOCKTON,aircraft_allocation,37.913509748699,-122.332218796242,0.0
17,1686874162000,aircraft8,SJ_PARK16,0.0,80.0,SJ_STOCKTON,pushback,37.3059430959902,-121.854169131574,0.0
18,1686874192518,aircraft8,SJ_FATO1,0.0,80.0,SJ_STOCKTON,fato_arrival,37.3056580008058,-121.85405613654,0.0
19,1686874207518,aircraft8,SJ_hover_fix,0.0,78.79,SJ_STOCKTON,hover_climb_end,37.305658,-121.8540561,15.0
20,1686874227518,aircraft8,SJ_departure_fix,18.0,77.79,SJ_STOCKTON,climb_transition_end,37.304832,-121.863192,45.72
21,1686874247518,aircraft8,SJ_Richmond  and SJ_Stockton WP1,45.0,77.10000000000001,SJ_STOCKTON,climb_end,37.322571,-121.874046,106.68
22,1686874255990,aircraft0,RICHMOND_PARK18,0.0,80.0,RICHMOND_SFO,pushback,37.9135365482453,-122.331871720731,0.0
23,1686874286508,aircraft0,RICHMOND_FATO1,0.0,80.0,RICHMOND_SFO,fato_arrival,37.913252229749,-122.332008363263,0.0
24,1686874289302,aircraft11,STOCKTON_PARK16,0.0,80.0,STOCKTON_SJ,aircraft_allocation,37.9384700217001,-121.350456226674,0.0
25,1686874301508,aircraft0,RICHMOND_hover_fix,0.0,78.79,RICHMOND_SFO,hover_climb_end,37.91325223,-122.3320084,15.0
26,1686874321508,aircraft0,RICHMOND_departure_fix,18.0,77.79,RICHMOND_SFO,climb_transition_end,37.909593,-122.340109,45.72
27,1686874321509,aircraft1,RICHMOND_PARK17,0.0,80.0,RICHMOND_STOCKTON,pushback,37.913509748699,-122.332218796242,0.0
28,1686874339518,aircraft8,SJ_Richmond  and SJ_Stockton WP2,56.0,75.71000000000001,SJ_STOCKTON,cruise,37.367482,-121.889008,450.0
29,1686874341508,aircraft0,RICHMOND_SFO_waypoint_1,45.0,77.10000000000001,RICHMOND_SFO,climb_end,37.901345,-122.34033,106.68
30,1686874352026,aircraft1,RICHMOND_FATO1,0.0,80.0,RICHMOND_STOCKTON,fato_arrival,37.913252229749,-122.332008363263,0.0
31,1686874354556,aircraft2,RICHMOND_PARK16,0.0,80.0,RICHMOND_STOCKTON,aircraft_allocation,37.9133640988197,-122.332367964866,0.0
32,1686874359508,aircraft0,RICHMOND_SFO_waypoint_2,56.0,76.83000000000001,RICHMOND_SFO,cruise,37.892383,-122.340361,450.0
33,1686874367026,aircraft1,RICHMOND_hover_fix,0.0,78.79,RICHMOND_STOCKTON,hover_climb_end,37.91325223,-122.3320084,15.0
34,1686874375404,aircraft3,RICHMOND_PARK15,0.0,80.0,RICHMOND_SFO,aircraft_allocation,37.9132056314235,-122.332390118622,0.0
35,1686874387026,aircraft1,RICHMOND_departure_fix,18.0,77.79,RICHMOND_STOCKTON,climb_transition_end,37.909593,-122.340109,45.72
36,1686874391518,aircraft9,SJ_PARK15,0.0,80.0,SJ_SFO,aircraft_allocation,37.305770451063,-121.854409622629,0.0
37,1686874399508,aircraft0,RICHMOND_SFO_waypoint_3,67.0,76.11000000000001,RICHMOND_SFO,cruise,37.86831,-122.345024,450.0
38,1686874407026,aircraft1,Richmond_Stockton wp1,45.0,77.10000000000001,RICHMOND_STOCKTON,climb_end,37.910754,-122.345196,106.68
39,1686874409296,aircraft11,STOCKTON_PARK16,0.0,80.0,STOCKTON_SJ,pushback,37.9384700217001,-121.350456226674,0.0
40,1686874411518,aircraft8,SJ_Richmond  and SJ_Stockton WP3,67.0,74.41000000000001,SJ_STOCKTON,cruise,37.409055,-121.903569,450.0
41,1686874414026,aircraft1,Richmond_Stockton WP2,56.0,76.99000000000001,RICHMOND_STOCKTON,cruise,37.914355,-122.345572,450.0
42,1686874421026,aircraft1,Richmond_Stockton WP3,67.0,76.87,RICHMOND_STOCKTON,cruise,37.918573,-122.343781,450.0
43,1686874436026,aircraft1,Richmond_Stockton WP4,67.0,76.60000000000001,RICHMOND_STOCKTON,cruise,37.924394,-122.335276,450.0
44,1686874439814,aircraft11,STOCKTON_FATO1,0.0,80.0,STOCKTON_SJ,fato_arrival,37.9381903031836,-121.350342496127,0.0
