NumAircraft,NSpilled,SimulatedDate,NFlights,Algorithm
5,27.0,1_2,352.0,RL
5,22.0,1_13,312.0,RL
5,51.0,1_22,364.0,RL
5,121.0,1_23,360.0,RL
5,22.0,1_29,342.0,RL
5,21.0,2_4,344.0,RL
5,15.0,2_11,344.0,RL
5,34.0,2_18,348.0,RL
5,59.0,2_21,394.0,RL
5,28.0,3_23,308.0,RL
5,32.0,4_5,352.0,RL
5,46.0,4_7,364.0,RL
5,30.0,4_8,360.0,RL
5,26.0,4_10,344.0,RL
5,19.0,4_25,370.0,RL
5,76.0,5_6,382.0,RL
5,25.0,5_10,350.0,RL
5,109.0,5_29,362.0,RL
5,24.0,6_8,358.0,RL
5,45.0,6_12,342.0,RL
5,27.0,6_13,332.0,RL
5,43.0,6_15,378.0,RL
5,19.0,6_16,342.0,RL
5,15.0,6_17,370.0,RL
5,35.0,6_21,358.0,RL
5,35.0,6_23,380.0,RL
5,96.0,6_27,412.0,RL
5,66.0,7_10,408.0,RL
5,64.0,7_17,356.0,RL
5,52.0,7_20,362.0,RL
5,16.0,7_21,380.0,RL
5,41.0,7_30,430.0,RL
5,15.0,7_31,340.0,RL
5,127.0,8_1,392.0,RL
5,24.0,8_6,334.0,RL
5,94.0,8_9,434.0,RL
5,52.0,8_11,376.0,RL
5,42.0,8_12,404.0,RL
5,73.0,8_13,352.0,RL
5,45.0,8_22,416.0,RL
5,75.0,8_26,386.0,RL
5,27.0,9_19,388.0,RL
5,25.0,9_20,358.0,RL
5,15.0,9_22,320.0,RL
5,71.0,9_30,382.0,RL
5,62.0,10_21,380.0,RL
5,71.0,11_8,348.0,RL
5,112.0,11_19,382.0,RL
5,25.0,12_1,334.0,RL
5,19.0,12_2,356.0,RL
