SimulationID,SimulatedDate,Algorithm,NumAircraft,NSpilled,NFlights,NumPax,Reward
SYDVMBXQ,1_26,VertiSimHeuristics,55,223,1961,3080,60716.21639999993
SYDVMBXQ,4_17,VertiSimHeuristics,55,346,1997,3396,69678.40039999984
SYDVMBXQ,11_25,VertiSimHeuristics,55,418,2130,3755,76781.72079999997
SYDVMBXQ,1_5,VertiSimHeuristics,55,280,2105,3597,77011.29199999991
SYDVMBXQ,3_25,VertiSimHeuristics,55,441,2170,3991,89196.41159999985
SYDVMBXQ,8_15,VertiSimHeuristics,55,329,2231,3927,86639.07720000004
SYDVMBXQ,4_15,VertiSimHeuristics,55,454,2199,3830,78421.14559999989
SYDVMBXQ,8_12,VertiSimHeuristics,55,816,2437,4818,99174.15760000011
TQXBLSAJ,11_26,VertiSimHeuristics,55,388,2246,3751,70514.41159999979
XKHJLNJF,1_31,VertiSimHeuristics,55,426,2033,3501,68676.08759999985
JGLYANTB,6_13,VertiSimHeuristics,55,450,2426,4287,90792.7495999999
FDPADJZC,11_21,VertiSimHeuristics,55,397,2213,4018,89061.43599999996
FDPADJZC,6_28,VertiSimHeuristics,55,481,2197,3888,79031.38879999984
RKQSTKWE,3_21,VertiSimHeuristics,55,425,2211,4259,100259.83879999994
WFMREJOQ,11_18,VertiSimHeuristics,55,546,2133,4125,91706.93679999995
JPCMUOVN,6_17,VertiSimHeuristics,55,352,2320,4345,105967.71800000023
GSHWGIKA,1_19,VertiSimHeuristics,55,248,1919,3204,67145.14839999983
FTGKBMXJ,3_22,VertiSimHeuristics,55,631,2175,4062,81944.63719999985
EPZRRGTW,5_6,VertiSimHeuristics,55,495,2147,3712,70083.63359999986
CZQDJTHP,1_21,VertiSimHeuristics,55,459,2166,3727,72464.66120000002
MYLLOIDM,9_8,VertiSimHeuristics,55,517,2273,3913,74231.38799999983
EHZGGPOR,5_4,VertiSimHeuristics,55,553,2280,4287,92188.68800000014
NNLTLEMW,7_2,VertiSimHeuristics,55,542,2302,4466,101926.62480000014
FDPCSXVU,6_16,VertiSimHeuristics,55,515,2446,4343,88863.89999999983
EGBLZCSS,7_5,VertiSimHeuristics,55,342,2063,3814,89362.88440000014
EZVSHDDO,6_10,VertiSimHeuristics,55,374,2251,4130,97022.16520000008
QGGIUGSJ,7_4,VertiSimHeuristics,55,354,2046,3872,92190.53719999996
QKGPMJQZ,3_2,VertiSimHeuristics,55,387,2060,3479,69812.63199999988
KSDSKYGO,3_31,VertiSimHeuristics,55,370,2260,3965,84617.1363999999
GLLYKBDC,6_14,VertiSimHeuristics,55,608,2288,4502,100730.35120000014
CDRMHOBZ,8_13,VertiSimHeuristics,55,490,2210,4090,88189.75959999989
VAJGFJWL,7_3,VertiSimHeuristics,55,471,2361,4383,96756.6440000001
NTQOWGGB,5_7,VertiSimHeuristics,55,597,2198,4070,84377.23359999998
SOQCYLRZ,3_23,VertiSimHeuristics,55,391,2172,3884,85367.46960000004
NKJBDBTH,8_29,VertiSimHeuristics,55,438,2168,4151,95397.01639999988
LLANAWOJ,8_28,VertiSimHeuristics,55,406,2322,4220,95510.01720000003
BVSCARMP,1_23,VertiSimHeuristics,55,251,1854,3160,68460.06519999978
OCINEYGL,11_23,VertiSimHeuristics,55,516,2119,3870,81787.13679999983
JZLCVIIA,3_30,VertiSimHeuristics,55,336,2163,3633,75078.7331999998
SOJZKOCN,6_15,VertiSimHeuristics,55,505,2295,4138,85412.8808000002
BNMMNSUV,3_3,VertiSimHeuristics,55,311,2055,3319,64089.23119999992
EEYPOOLZ,11_27,VertiSimHeuristics,55,462,2139,3828,79767.95919999965
